Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Restaurant Les Dames de la Loire;Restaurant;Cuisine traditionnelle;;15 route de la Rose;;49700;;;LES ULMES;49359;47.212937;-0.179155;;;02 41 59 57 10;;lesdamesdelaloire@gmail.com;https://www.lesdamesdelaloire.com;;"Facebook||https://www.facebook.com/damesdelaloire/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d3237957-Reviews-Les_Dames_de_la_Loire-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;Le petit futé;;;oui;Sur laisse;;Chaise haute / Réhausseur,Climatisation,Service en terrasse,Table à langer;50;2;40;;;;Anglais,Français;;;30;;"23/10/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;"Plats à la carte||8,00||28,00||Selection d'entrées, plats et desserts à la carte, midi et soir. ; Menu adulte du jour (midi en semaine)||25,00||45,00||Menu du Marché - uniquement le midi en semaine, hors jours fériés - 25€.  ;Menu Signature - le soir, le weekend et jours fériés - 40€.;Le prix des menus peuvent varier en cours de l'année. ; Menu enfant||13,00||17,00||";Tickets Restaurant;47.212937, -0.179155;Maine-et-Loire
Restaurant Les Dîmes;Restaurant;Cuisine traditionnelle;;3 rue du Pilori;Champteussé-sur-Baconne;49220;;;CHENILLE-CHAMPTEUSSE;49067;47.6673205;-0.6560544;;;02 41 95 14 24;;;;;Google+||https://g.co/kgs/mXZeShv;;;;;;non;;;Banquet,Plats à emporter,Service en terrasse,WiFi;80;1;40;0;0;;Anglais,Français;oui;10;50;oui;01/01/2026||31/12/2026||Ouvert le weekend pour les groupes à partir de 10 personnes||Fermé pour congés du 3 au 23 août.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||21:30||||||||||||||||;Les Dîmes||02 41 95 14 24||;;;Menu adulte du jour (midi en semaine)||14,50||||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.6673205, -0.6560544;Maine-et-Loire
Restaurant Les Pommes Tapées du Val de Loire;Restaurant;Restaurant troglodytique;;11 rue des Ducs d'Anjou;;49730;;;TURQUANT;49358;47.225694;0.022319;;;02 41 51 48 30;;contact@pommes-tapees.fr;https://www.pommes-tapees.fr;;"Facebook||https://www.facebook.com/lespommestapees/ ; Google+||https://maps.google.com/?cid=11059962882344606034";;;;;;oui;;;Service en terrasse;70;1;20;;;;Anglais,Français;oui;;15;;01/05/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.225694, 0.022319;Maine-et-Loire
Restaurant Les Ponts;Restaurant;Cuisine traditionnelle;;14, rue des Ponts;;72800;;;LE LUDE;72176;47.6486851;0.162181;;;02 43 96 62 63;;restaurantlesponts@gmail.com;;;;;;;;;;;;Plats à emporter,Service en terrasse,WiFi;50;2;40;;;;;;;40;;01/01/2026||31/12/2026||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||||||||||||||||;||02 43 94 62 63|| restaurantlesponts@gmail.com;;;"Menu adulte du jour (midi en semaine)||16,00||17,00|| ; Plats à la carte||15,00|||| ; Menu enfant||12,90||||";Cartes bancaires,Espèces,Tickets Restaurant;47.6486851, 0.162181;Sarthe
Restaurant Les Salons de la Louée;Restaurant pour groupes exclusivement;Cuisine traditionnelle;;93 route de la Louée;;44115;;;HAUTE-GOULAINE;44071;47.183646;-1.4283611;;;02 40 54 57 09;;;http://www.lessalonsdelalouee.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.183646, -1.4283611;Loire-Atlantique
Restaurant Les Saveurs de Bordes;Restaurant;Cuisine traditionnelle;;route de Tours-Golf de Baugé;Baugé;49150;;;BAUGE-EN-ANJOU;49018;47.5382027;-0.0752658;"Route (nationale/départ.)||D938||0 ; Autoroute||A11 et A85||20 ; Aéroport/aérodrome||Aéroport Angers Loire Métropole||20 ; Gare SNCF||Angers et ligne bus Le Mans-Saumur N°26||40 ; Gare routière||Baugé lignes Anjou bus N°15 et 8A||2";;02 41 89 01 27;;golf@golf-bauge.fr;https://www.golf-bauge.fr/restaurant/;https://youtu.be/c4aMEZCKki0?list=PLla1LKX3Qasz8rokHgfppUXPlEgmDfHAk;"Facebook||https://www.facebook.com/GolfdeBauge/ ; Instagram||https://www.instagram.com/golfdebauge/";;"<iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/c4aMEZCKki0?list=PLla1LKX3Qasz8rokHgfppUXPlEgmDfHAk"" title=""Restaurant Les saveurs de borde à Baugé"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;oui;;;Banquet,Chaise haute / Réhausseur,Service en terrasse,WiFi;90;1;50;;;;Anglais,Français;oui;;60;non;01/01/2025||31/12/2026||||fermé lundi. Fermeture pour travaux en janvier-février, réouverture en mars.||||||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||;||02 41 89 01 27||;;;Menu adulte du jour (midi en semaine)||18,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.5382027, -0.0752658;Maine-et-Loire
RESTAURANT LES VINS DU PALAIS;Restaurant;Cuisine traditionnelle;;92 Rue Charles de Gaulle;;53100;;;MAYENNE;53147;48.305312;-0.618507;;;09 81 87 87 91;;;;;"Facebook||https://www.facebook.com/profile.php?id=100086647103166 ; Instagram||https://www.instagram.com/lesvinsdupalais53100/";;;;;;;;;Bon cadeau,Séminaire,Service en terrasse,WiFi;110;3;40;1;;;Français;oui;;;non;02/11/2022||31/01/2028||||||11:45||14:00||||||11:45||14:00||||||11:45||14:00||||||11:45||14:00||||||11:45||14:00||||||19:00||23:00||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.305312, -0.618507;Mayenne
Restaurant Mona Pizzas;Restaurant;Pizzeria;;18 rue Saint Nicolas;;49400;;;SAUMUR;49328;47.260696;-0.078663;;;02 53 93 94 02;;;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d1998633-Reviews-Mona_Pizza-Saumur_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;oui;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse;30;1;12;;;;Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.260696, -0.078663;Maine-et-Loire
Restaurant O’Bistrot de So;Restaurant;Cuisine traditionnelle;;15 place de l'Eglise;;72140;;;ROUEZ;72256;48.1400504;-0.1153319;"Gare SNCF||Sillé le Guillaume||6 ; Autoroute||Le Mans Nord||25 ; Route (nationale/départ.)||Conlie||5 ; Transport en commun||Tennie||5";;02 44 02 53 80;;;;;Facebook||https://www.facebook.com/Au-Ptit-Rouezien-1898862450329829/?ref=page_internal;;;;;;oui;;;Service en terrasse;50;1;20;;;;Anglais,Français;oui;15;40;oui;||||||||10:00||19:00||||||07:30||19:00||||||07:30||14:00||||||07:30||19:00||||||07:30||19:00||||||08:00||19:00||||||08:00||13:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;48.1400504, -0.1153319;Sarthe
Restaurant pizzéria Chez Sam;Restaurant;Pizzeria;;30 rue Victor Hugo;Segré;49500;;;SEGRÉ-EN-ANJOU BLEU;49331;47.6856192;-0.8726223;;;02 41 92 11 81;;;;;"Facebook||https://www.facebook.com/p/Chez-Sam-100063456310143/?locale=fr_FR ; Google+||https://g.co/kgs/unrrxBz";;;;;;;;;Livraison à domicile,Plats à emporter,Service en terrasse;70;1;60;0;0;;Français;oui;;30;oui;01/01/2026||31/12/2026||||Fermé pour congés du 5 juillet au 3 août.||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||||||||;Chez Sam||02 41 92 11 81||;;;"Plats à la carte||9,00||24,00|| ; Menu enfant||9,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6856192, -0.8726223;Maine-et-Loire
Restaurant Pizzéria La Calèche;Restaurant;Pizzeria;;44 rue Saint-Nicolas;;49400;;;SAUMUR;49328;47.261022;-0.079532;Transport en commun||||;;02 41 67 74 86;;restaurantlacalechesaumur@orange.fr;;;"Facebook||https://www.facebook.com/La-Cal%C3%A8che-Saumur-484923371536285/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d4108466-Reviews-La_Caleche-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;;;;Service en terrasse;50;2;30;;;;Anglais,Français;;;25;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.261022, -0.079532;Maine-et-Loire
Restaurant pizzéria La Madona;Restaurant;Pizzeria;;Rue du Canal;;49220;;;LE LION-D'ANGERS;49176;47.6286052;-0.7132691;;;02 41 95 67 13;;;;;"Google+||https://g.co/kgs/edBPHn5 ; Facebook||https://www.facebook.com/p/Pizzeria-la-Madona-100057489847718/?locale=hy_AM";;;;;;non;;;Chaise haute / Réhausseur,Plats à emporter,Service en terrasse;56;1;50;0;0;;Français;oui;;15;oui;01/01/2026||31/12/2026||||||12:00||14:00||||||||||||||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:00||12:00||14:00||18:30||22:30||12:00||14:00||18:30||22:30;PIZZERIA MADONA||02 41 95 67 13||;;;"Menu adulte du jour (midi en semaine)||15,00||22,50|| ; Menu adulte soir et week-end||22,50||27,50|| ; Menu enfant||9,00||||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.6286052, -0.7132691;Maine-et-Loire
Restaurant routier La Fleur de Lys;Restaurant;Cuisine traditionnelle;;162 route Nationale;Saint-Martin-du-Bois;49500;;;SEGRE-EN-ANJOU BLEU;49331;47.7222284;-0.7086042;;;09 86 76 49 75;;;;;Google+||https://g.co/kgs/zEcVu9T;;;;;;oui;;;Banquet,Chaise haute / Réhausseur,Plats à emporter,Séminaire,Service en terrasse,Table à langer,Traiteur,WiFi;70;1;0;0;0;;Français;oui;20;60;oui;01/01/2026||31/12/2026||Ouvert du lundi au vendredi midi ainsi que du lundi au jeudi soir.||Fermeture à Noël||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||||||||||||||||||||;Restaurant la Fleur de Lys||09 86 76 49 75||;;;Menu adulte du jour (midi en semaine)||15,90||15,90||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.7222284, -0.7086042;Maine-et-Loire
Restaurant San Andrea;Restaurant;Pizzeria;;15 rue Simone Veil;Saint-André-de-la-Marche;49450;;;SEVREMOINE;49301;47.1125372;-0.9935112;;;02 41 30 13 39;;;https://www.restaurant-sanandrea.fr/;;"Facebook||https://www.facebook.com/restaurantandreabistro ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g7981721-d7259040-Reviews-San_Andrea-Saint_Andre_de_la_Marche_Sevremoine_Maine_et_Loire_Pays_de_la_Loire.html ; Google+||https://g.co/kgs/5WNzRxC";;;;;;;;;Climatisation,Plats à emporter,Séminaire,Service en terrasse,WiFi;120;5;60;;3;;Français;;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1125372, -0.9935112;Maine-et-Loire
Restaurant Sanya;Restaurant;Cuisine du Monde;;21 rue Ferdinand Albert;;44190;;;CLISSON;44043;47.0868594;-1.2859631;;;02 40 43 81 83;;sanya.restaurant@orange.fr;https://www.restaurantsanya.fr/;;Facebook||https://www.facebook.com/sanyasandwichwokshop/?locale=fr_FR;;;;;;;;;;;;;;;;;;;;;||||||||11:30||14:00||18:15||21:00||11:30||14:00||18:15||21:00||11:30||14:00||18:15||21:00||11:30||14:00||18:15||21:00||11:30||14:00||18:15||21:30||11:30||14:00||18:15||21:30||||||||;;;;;Cartes bancaires,Espèces;47.0868594, -1.2859631;Loire-Atlantique
Restaurant snack A la Bonne Franquette;Restaurant;Restauration rapide;;10 rue de l'Alerte;Route de Seiches;49330;;;ETRICHE;49132;47.6487496;-0.4442533;"Gare SNCF||Gare d'Etriché-Châteauneuf||3,2 ; Autoroute||A11 Sortie 12 Seiches-sur-le-Loir||16,6";07 67 12 91 95;;;leninis49330@gmail.com;;;"Facebook||https://www.facebook.com/profile.php?id=61568254532959 ; Instagram||https://www.instagram.com/le.ninis/";;;;;;oui;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse,Traiteur,WiFi;60;1;15;1;1;;Français;oui;10;60;oui;01/01/2026||31/12/2026||Ouvert du mardi midi au dimanche soir.||Fermé le lundi.||||||||||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00;GORANI||07 67 12 91 95||leninis49330@gmail.com;;;"Plats à la carte||14,00||34,00|| ; Menu enfant||12,00||||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.6487496, -0.4442533;Maine-et-Loire
Restaurant Snacking Le 8;Restaurant;Restauration rapide;;8 Rue du Docteur Lhoste;;72200;;;LA FLECHE;72154;47.6990159;-0.0778344;;06 51 00 61 93;;;;https://le-8-restaurant-la-fleche.eatbu.com/?lang=fr;;;;;;;;;;;Livraison à domicile,Plats à emporter,Service en terrasse;10;1;6;0;;;Français;;;;;01/01/2026||31/12/2026||||||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||||||18:00||22:00||||||18:00||22:00;;;;"Menu adulte du jour (midi en semaine)||8,00||14,00|| ; Plats à la carte||7,00||8,50|| ; Menu enfant||6,50||||";;47.6990159, -0.0778344;Sarthe
RESTAURANT TOPAZE;Restaurant;Restaurant gastronomique - cuisine raffinée;;103 Rue Aristide Briand;;44600;;;SAINT-NAZAIRE;44184;47.27932;-2.2253;"Gare SNCF||Ligne Hélyce - Arrêt Soleil Levant||2 ; Transport en commun||Ligne U4 - Arrêt Soleil Levant||0,35 ; Transport en commun||Ligne U3 - Arrêt Brizeux||0,7";;02 51 75 69 36;;restaurant-topaze@outlook.fr;;;Facebook||https://www.facebook.com/people/Topaze-Restaurant-Saint-Nazaire/100087476217778/;;;Michelin,Pudlowski;;;non;;;;25;1;;0;;;Français;;;6;oui;06/01/2026||31/12/2026||Ouvert du mardi au vendredi||Fermé le samedi, dimanche et lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Restaurant Topaze||02 51 75 69 36||restaurant-topaze@outlook.fr;;;"Menu adulte du jour (midi en semaine)||40,00||64,00|| ; Menu adulte soir et week-end||48,00||64,00||";Cartes bancaires;47.27932, -2.2253;Loire-Atlantique
Restaurant Ververt;Restaurant;Restaurant gastronomique - cuisine raffinée;;7 place du Mail;;49730;;;MONTSOREAU;49219;47.216113;0.056433;Itinéraire de randonnée||||;;02 41 52 34 89;;contactververt@gmail.com;https://www.ververt.com;;"Facebook||https://www.facebook.com/ververtmontsoreau/ ; Instagram||https://www.instagram.com/ververt_montsoreau/";;;Gault Millau,Michelin;;;non;;;Climatisation,Plats à emporter,Service en terrasse,WiFi;35;2;30;;2;;Anglais,Français;;;20;;24/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Plats à la carte||15,00||60,00||;Cartes bancaires;47.216113, 0.056433;Maine-et-Loire
Restaurant Ô Boeuf;Restaurant;Restaurant gastronomique - cuisine raffinée;;21 Place de l'Église;;72340;;;MARCON;72183;47.7101721;0.51057489;;;02 61 71 90 76;;oboeufmarcon@gmail.com;;;;;;;;;oui;;;Service en terrasse;70;3;25;;;;Anglais,Français;oui;;30;oui;"01/01/2026||09/08/2026||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:15||21:15||||||19:15||21:15|||||||| ; 01/09/2026||31/12/2026||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:15||21:15||12:00||14:00||19:15||21:15||||||||";;;;"Menu adulte du jour (midi en semaine)||16,90|||| ; Menu adulte soir et week-end||35,00|||| ; Menu enfant||11,50||||";;47.7101721, 0.51057489;Sarthe
RESTAURANT-GRILL AU VIEUX CASTEL;Restaurant;Cuisine traditionnelle;;25 rue Pasteur;;44110;;;CHATEAUBRIANT;44036;47.7179739;-1.3761465;;;02 40 81 12 51;;auvieuxcastel@orange.fr;;;;;;;;;oui;;;Banquet,Service en terrasse;55;2;60;;;;;oui;;;oui;||||||Fermé le dimanche soir, le lundi, le jeudi et le mercredi soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 81 12 51||;;;Menu adulte du jour (midi en semaine)||13,80||31,80||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;47.7179739, -1.3761465;Loire-Atlantique
Restaurant-Self ESAT de Saillé;Restaurant;;;37 rue du Ber;Saillé;44350;;;GUERANDE;44069;47.29574;-2.42576;;;02 40 15 10 25;02 40 15 10 21;accueil.saille@apeiouest44.fr;http://www.apeiouest44.fr;;;;;;;;oui;;;Service en terrasse;;;;;;;;oui;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.29574, -2.42576;Loire-Atlantique
Restauration rapide La Petite Fringale;Restaurant;Restauration rapide;;3 route Nationale;;72540;;;JOUE-EN-CHARNIE;72149;48.0182525;-0.1910649;Autoroute||A81, sortie 1||7;;02 43 14 82 92;;cottineau.ben@gmail.com;;;Facebook||https://www.facebook.com/La-Petite-Fringale-394404284085855;;;;;;oui;;;Plats à emporter,WiFi;29;;;;;;Anglais,Français;;;;oui;"01/01/2026||02/08/2026||||Les soirs du lundi au mercredi. Le jeudi et samedi toute la journée et le dimanche midi||11:00||14:00||||||09:00||14:00||||||09:00||14:00||||||||||||||09:00||14:00||19:00||22:00||||||||||||||18:30||21:30 ; 24/08/2026||31/12/2026||||Les soirs du lundi au mercredi. Le jeudi et samedi toute la journée et le dimanche midi||11:00||14:00||||||09:00||14:00||||||09:00||14:00||||||||||||||09:00||14:00||19:00||22:00||||||||||||||18:30||21:30";||02 43 14 82 92||lapetitefringale72@orange.fr;;;"Menu adulte du jour (midi en semaine)||13,90|||| ; Menu adulte soir et week-end||13,90||||Tarif indicatif pour un burger + frites + boisson";Cartes bancaires,Espèces,Tickets Restaurant;48.0182525, -0.1910649;Sarthe
Ristorante Del Arte (Le Mans - Saint Saturnin);Restaurant;Pizzeria;;rue Jean de Vignolles;Porte de l'Océane;72650;;;SAINT-SATURNIN;72320;48.0484441;0.17130307;"Route (nationale/départ.)||||0,1 ; Autoroute||A11||0,2 ; Gare SNCF||||5 ; Transport en commun||||0,01";;02.43.52.09.23;;;;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g226889-d1388928-Reviews-Del_Arte_Saint_Saturnin-Saint_Saturnin_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;oui;;;Plats à emporter,Service en terrasse;160;;60;;;;Anglais;oui;;30;;;DECARSIN||02.43.52.09.23||DAFRSTSTXOCEANE@groupeleduff.com;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.0484441, 0.17130307;Sarthe
Ristorante Del'Arte;Restaurant;Cuisine du Monde;;Rue de l'Aubance;ZAC de l'Ecuyère;49300;;;CHOLET;49099;47.07834;-0.83471;;;02 41 56 78 78;;;http://www.delarte.fr;;;;;;;;;;;Chaise haute / Réhausseur,Climatisation,Service en terrasse,Table à langer,WiFi;186;;84;;;;Anglais,Espagnol,Français;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.07834, -0.83471;Maine-et-Loire
ROZA;Restaurant;;;3 place de la Monnaie;;44100;;;NANTES;44109;47.2132255;-1.5655622;;;2 40 54 01 87;;reservationroza@hotmail.com;www.restaurantroza.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2132255, -1.5655622;Loire-Atlantique
Résidence Domitys;Restaurant;Cuisine traditionnelle;;37 avenue Frédéric Auguste Bartholdi;;72000;;;LE MANS;72181;48.0199215;0.1567204;;;02 43 14 57 57;;lemans@domitys.fr;https://www.domitys.fr/residence-services-senior/pays-de-la-loire/sarthe-72/le-mans-le-vallon-des-bois-72.html;;;;;;;;oui;;;Banquet,Plats à emporter,Séminaire,Service en terrasse;120;1;;;;;Anglais,Français;oui;;60;oui;;ACCUEIL DE LA RESIDENCE||02 43 14 57 57||lemans@domitys.fr;;;;Cartes bancaires,Chèques bancaires et postaux;48.0199215, 0.1567204;Sarthe
Salon de thé Chez Marion;;Salon de thé;;27 rue des Forges;;44330;;;VALLET;44212;47.160704;-1.267238;;06 45 22 35 43;;;bonjour.chezmarion@gmail.com;;;Facebook||https://www.facebook.com/chezmarion.france;;;;;;;;;;;;;;;;;;;;;||||Brunch uniquement le week-end||||||||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||19:00||||||10:00||19:00||||||07:00||14:00||||;;;;;;47.160704, -1.267238;Loire-Atlantique
Saveurs d'Orient;Restaurant;Restauration rapide;;16 Rue d'Orée;;72800;;;LE LUDE;72176;47.646388;0.15739;;06 88 75 34 65;02 44 54 56 21;;;;;;;;;;;non;;;Plats à emporter;12;1;0;0;0;;Français;oui;;;oui;01/01/2026||31/12/2026||||||11:45||14:00||18:00||23:00||11:45||14:00||18:00||23:00||11:45||14:00||18:00||23:00||11:45||14:00||18:00||23:00||||||18:00||23:00||11:45||14:00||18:00||23:00||11:45||14:00||18:00||23:00;;;;Plats à la carte||6,00||11,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.646388, 0.15739;Sarthe
Signorizza;Restaurant;Pizzeria;;2 allée des Gabares;;72200;;;LA FLECHE;72154;47.702976;-0.05024;;;02 72 88 25 92;;lafleche@signorizza.com;https://www.signorizza.com/pizzeria/la-fleche/;;"Facebook||https://www.facebook.com/SignorizzaLaFleche ; Instagram||https://www.instagram.com/signorizza_lafleche/";;;;;;oui;;;Bon cadeau,Climatisation,Plats à emporter,Service en terrasse,WiFi;105;1;40;0;1;;Anglais,Français;oui;;90;oui;01/01/2026||31/12/2026||||||11:45||13:30||18:45||21:30||11:45||13:30||18:45||21:30||11:45||13:30||18:45||21:30||11:45||13:30||18:45||21:30||11:45||13:30||18:45||23:00||11:45||13:30||18:45||23:00||11:45||13:30||18:45||21:30;;;;"Menu adulte du jour (midi en semaine)||13,40||17,90|| ; Plats à la carte||9,90||22,70|| ; Menu adulte soir et week-end||17,90|||| ; Menu enfant||7,90||10,90||";Cartes bancaires,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Virement;47.702976, -0.05024;Sarthe
Silex Restaurant;Restaurant;Restaurant gastronomique - cuisine raffinée;;15, place de l'Eglise;;72340;;;CHAHAIGNES;72052;47.7411;0.513586;;;02 43 44 62 62;;;http://silex-restaurant.fr/;;Instagram||https://www.instagram.com/silexrestaurantchahaignes/;;;Michelin;;;non;;;Climatisation,Service en terrasse;32;2;10;0;1;;Anglais,Français;non;;;oui;"01/01/2026||27/01/2026||||Fermé pour congés annuels|||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 28/01/2026||30/06/2026||||||||||||||||||||||||||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00|||| ; 01/07/2026||31/08/2026||||||||||||||||||||||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00 ; 01/09/2026||31/12/2026||||||||||||||||||||||||||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||19:30||21:00||12:00||14:00||||";HERVE||02 43 44 62 62||;;;"Menu adulte du jour (midi en semaine)||23,00||27,00|| ; Menu adulte soir et week-end||44,00|||| ; Menu enfant||12,00||||";Cartes bancaires,Chèques bancaires et postaux,Espèces;47.7411, 0.513586;Sarthe
